a,b,S_star,transcendental
-100.0,-100.0,95.4096578198372,1
-100.0,-98.99497487437186,104.8174424449502,1
-100.0,-97.98994974874373,67.17339967523938,1
-100.0,-96.98492462311557,116.52126897396332,1
-100.0,-95.97989949748744,136.93602039479106,1
-100.0,-94.9748743718593,120.59264549133445,1
-100.0,-93.96984924623115,-131.3137483762043,1
-100.0,-92.96482412060301,-136.53645974893888,1
-100.0,-91.95979899497488,119.45360936857091,1
-100.0,-90.95477386934674,25.806504987417625,1
-100.0,-89.9497487437186,-106.48304963088823,1
-100.0,-88.94472361809045,-17.305984605517786,1
-100.0,-87.93969849246231,-120.04997379808887,1
-100.0,-86.93467336683418,-130.80594143180417,1
-100.0,-85.92964824120602,37.720471337693034,1
-100.0,-84.92462311557789,-131.18190063299613,1
-100.0,-83.91959798994975,-22.593583687420832,1
-100.0,-82.91457286432161,20.43201677387721,1
-100.0,-81.90954773869348,101.26934019391474,1
-100.0,-80.90452261306532,-128.08683516395328,1
-100.0,-79.89949748743719,125.38812369294118,1
-100.0,-78.89447236180905,95.98481392660776,1
-100.0,-77.8894472361809,65.81438572627872,1
-100.0,-76.88442211055276,-125.96694156468888,1
-100.0,-75.87939698492463,124.945023595441,1
-100.0,-74.87437185929649,-83.75271903907473,1
-100.0,-73.86934673366835,-45.3667632853841,1
-100.0,-72.8643216080402,119.3526057553452,1
-100.0,-71.85929648241206,102.23884296610106,1
-100.0,-70.85427135678393,-65.14262288396131,1
-100.0,-69.84924623115577,95.22947526441415,1
-100.0,-68.84422110552764,-115.78995962457834,1
-100.0,-67.8391959798995,-57.72265918872708,1
-100.0,-66.83417085427136,-0.9548161151956833,1
-100.0,-65.82914572864323,-81.75189044812188,1
-100.0,-64.82412060301507,37.40004696772023,1
-100.0,-63.81909547738694,118.35294394833971,1
-100.0,-62.8140703517588,10.65026539807834,1
-100.0,-61.80904522613066,66.60595524744288,1
-100.0,-60.80402010050251,-3.2352999754675835,1
-100.0,-59.798994974874375,-17.335146550011423,1
-100.0,-58.79396984924624,24.742683168375265,1
-100.0,-57.788944723618094,114.30875853305724,1
-100.0,-56.78391959798995,-4.5766707171669765,1
-100.0,-55.77889447236181,23.733791415405946,1
-100.0,-54.773869346733676,-112.65853555748275,1
-100.0,-53.76884422110553,107.20931242262573,1
-100.0,-52.76381909547739,-26.195239358368198,1
-100.0,-51.75879396984925,-101.7833277133172,1
-100.0,-50.75376884422111,49.528072799355776,1
-100.0,-49.74874371859297,38.979188467985,1
-100.0,-48.743718592964825,95.14374971770884,1
-100.0,-47.73869346733669,-106.60879328371843,1
-100.0,-46.73366834170855,-73.93302867906819,1
-100.0,-45.72864321608041,39.28814698618625,1
-100.0,-44.72361809045226,106.46206468430658,1
-100.0,-43.718592964824126,95.07824619297206,1
-100.0,-42.71356783919599,12.13163627526854,1
-100.0,-41.708542713567844,-104.25090261333452,1
-100.0,-40.7035175879397,61.58867126970727,1
-100.0,-39.69849246231156,-106.84462239364312,1
-100.0,-38.693467336683426,27.84156366047115,1
-100.0,-37.68844221105528,-104.82114144538193,1
-100.0,-36.68341708542714,-106.44747578027504,1
-100.0,-35.678391959799,-96.89632818866492,1
-100.0,-34.673366834170864,-57.040716234845995,1
-100.0,-33.66834170854273,83.60029341123914,1
-100.0,-32.663316582914575,-96.00192772846347,1
-100.0,-31.65829145728644,75.24938531313582,1
-100.0,-30.6532663316583,-53.43595047601335,1
-100.0,-29.64824120603015,83.51067053389308,1
-100.0,-28.643216080402013,-99.33274857378053,1
-100.0,-27.638190954773876,40.44040456101392,1
-100.0,-26.63316582914574,-97.36708617956553,1
-100.0,-25.6281407035176,61.8535729662043,1
-100.0,-24.62311557788945,102.7103482454242,1
-100.0,-23.618090452261313,-101.37231109793059,1
-100.0,-22.613065326633176,102.48310586535987,1
-100.0,-21.608040201005025,-93.22382053826274,1
-100.0,-20.603015075376888,85.76575009694915,1
-100.0,-19.59798994974875,60.48134889045497,1
-100.0,-18.592964824120614,-36.15290615855926,1
-100.0,-17.587939698492477,98.45883090345093,1
-100.0,-16.582914572864325,28.790601442598422,1
-100.0,-15.577889447236188,101.14649681919789,1
-100.0,-14.572864321608051,45.19245487016563,1
-100.0,-13.5678391959799,95.89939658559781,1
-100.0,-12.562814070351763,-85.79280936808138,1
-100.0,-11.557788944723626,-51.83865058691692,1
-100.0,-10.552763819095489,11.899433358623313,1
-100.0,-9.547738693467352,97.58995416059786,1
-100.0,-8.5427135678392,-39.75978533425007,1
-100.0,-7.5376884422110635,55.186240248293366,1
-100.0,-6.532663316582926,71.16590779019442,1
-100.0,-5.527638190954775,95.442776008742,1
-100.0,-4.522613065326638,66.51764865686891,1
-100.0,-3.517587939698501,48.72731247608633,1
-100.0,-2.512562814070364,-87.84880485069421,1
-100.0,-1.507537688442227,74.29266987762067,1
-100.0,-0.5025125628140756,-26.728082753163104,1
-100.0,0.5025125628140614,-59.834358209495285,1
-100.0,1.5075376884421985,-99.75760713050998,1
-100.0,2.5125628140703498,98.09628099964526,1
-100.0,3.517587939698487,95.54292081167479,1
-100.0,4.522613065326624,99.93644421322475,1
-100.0,5.527638190954761,-25.416391875261855,1
-100.0,6.532663316582898,-98.71425952410839,1
-100.0,7.537688442211049,-99.17476485194115,1
-100.0,8.542713567839186,-74.18845365349208,1
-100.0,9.547738693467323,6.06111438039411,1
-100.0,10.552763819095475,-13.630931521748284,1
-100.0,11.557788944723612,-12.253149592134356,1
-100.0,12.562814070351749,94.06810526749648,1
-100.0,13.567839195979886,99.55143632597441,1
-100.0,14.572864321608023,-98.1488333687406,1
-100.0,15.577889447236174,33.14718080647576,1
-100.0,16.58291457286431,10.614729612508757,1
-100.0,17.58793969849245,85.81166479962542,1
-100.0,18.5929648241206,-29.227636301173206,1
-100.0,19.597989949748737,37.9677513973309,1
-100.0,20.603015075376874,-101.54231154858583,1
-100.0,21.60804020100501,-95.00404936063096,1
-100.0,22.613065326633148,27.532803163993435,1
-100.0,23.6180904522613,51.95553294638072,1
-100.0,24.623115577889436,-102.87593548450246,1
-100.0,25.628140703517573,-75.5558492329329,1
-100.0,26.633165829145725,-103.26940122942189,1
-100.0,27.63819095477386,58.62214829938722,1
-100.0,28.643216080402,103.86645140959376,1
-100.0,29.64824120603015,91.63104639460194,1
-100.0,30.653266331658273,77.61398299516927,1
-100.0,31.658291457286424,-22.39083133723689,1
-100.0,32.66331658291455,-9.780169502588347,1
-100.0,33.6683417085427,90.84691337742383,1
-100.0,34.67336683417085,70.56830086339062,1
-100.0,35.67839195979897,96.35805060141651,1
-100.0,36.68341708542712,-102.72988607444621,1
-100.0,37.688442211055275,-60.18151391665159,1
-100.0,38.6934673366834,-32.60178328032369,1
-100.0,39.69849246231155,85.62314409965556,1
-100.0,40.7035175879397,33.428287362772735,1
-100.0,41.70854271356782,95.95664780990118,1
-100.0,42.713567839195974,-28.555884266154408,1
-100.0,43.7185929648241,109.04612882218697,1
-100.0,44.72361809045225,-91.00964227963188,1
-100.0,45.7286432160804,102.42625486944922,1
-100.0,46.73366834170852,-106.90512778851502,1
-100.0,47.738693467336674,-109.9985738403902,1
-100.0,48.7437185929648,105.60076817496487,1
-100.0,49.74874371859295,111.47309573045385,1
-100.0,50.7537688442211,52.34211952532404,1
-100.0,51.75879396984922,112.54992934579155,1
-100.0,52.76381909547737,105.96182523950696,1
-100.0,53.768844221105525,96.90351648538892,1
-100.0,54.77386934673365,-106.87941098215073,1
-100.0,55.7788944723618,-94.02850167408677,1
-100.0,56.78391959798995,82.81127617579018,1
-100.0,57.78894472361807,37.61282828669182,1
-100.0,58.793969849246224,23.964781171254195,1
-100.0,59.79899497487435,-80.07244258588699,1
-100.0,60.8040201005025,9.986408976847684,1
-100.0,61.80904522613065,99.55005545152927,1
-100.0,62.81407035175877,33.614732858350166,1
-100.0,63.819095477386924,-114.02977735887913,1
-100.0,64.82412060301505,106.45664331146834,1
-100.0,65.8291457286432,-35.16112815051479,1
-100.0,66.83417085427135,72.05469570106224,1
